,name,close_approach_date,miss_distance_km,relative_velocity_kmh,is_potentially_hazardous,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_sentry_object,estimated_diameter_mean
2814,98943 Torifune (2001 CC21),2024-06-07,31247531.912148647,27996.1834691646,False,18.73,477.0401980121,1066.694310755,False,771.8672543835501
2815,(2013 LX28),2024-06-07,67256608.75876802,80945.394642715,False,21.89,111.3153296083,248.908643942,False,180.11198677515
2816,(2014 JU15),2024-06-07,43477504.4477928,66732.979706874,False,24.8,29.1443904535,65.1688382168,True,47.156614335149996
2817,(2014 OL339),2024-06-07,48830482.077983886,40179.6979456997,False,22.78,73.884778657,165.2113875797,False,119.54808311835
2818,(2015 FA341),2024-06-07,55401982.21568358,23321.0696333624,False,24.3,36.6906137531,82.0427064882,False,59.366660120649996
2819,(2016 JN),2024-06-07,46759485.8620614,50637.5341436783,False,23.4,55.5334911581,124.1766612574,False,89.85507620775
2820,(2019 UJ3),2024-06-07,58413479.93986511,73132.6268756246,False,25.95,17.1614894077,38.3742569109,False,27.767873159300002
2821,(2021 WG3),2024-06-07,74242120.14898486,49135.8019993081,False,26.56,12.9585072669,28.9761031358,False,20.96730520135
2822,(2022 YM6),2024-06-07,34976216.74001782,41973.6531971383,False,25.25,23.6894499356,52.9712204056,False,38.3303351706
2823,(2024 BD4),2024-06-07,9487020.610741708,4538.4566643976,False,26.52,13.1994239041,29.5148091135,False,21.3571165088
2824,(2024 KA1),2024-06-07,1877381.102487512,29960.3938108822,False,25.38,22.3128464417,49.8930414151,False,36.1029439284
2825,(2024 LA),2024-06-07,1798756.934991825,65729.5471060834,False,25.61,20.0703514113,44.8786700881,True,32.4745107497
2826,(2024 LR1),2024-06-07,11088569.929209229,46856.6513869568,False,22.6,80.2703167283,179.4898847799,False,129.8801007541
2827,(2024 LQ3),2024-06-07,3678776.001439556,48794.9188736272,False,24.18,38.7752830381,86.70416872,False,62.73972587905
2828,(2024 LU4),2024-06-07,4297880.039570619,46847.7752527019,False,25.4,22.1082810359,49.435619262,False,35.77195014895
2829,415949 (2001 XY10),2024-06-06,62766498.3285265,85985.520548868,False,19.37,355.267088298,794.4013596028,False,574.8342239504
2830,480927 (2002 YZ3),2024-06-06,64795225.38204455,67233.3888170693,False,18.44,545.1989071318,1219.1018176054,False,882.1503623685999
2831,(2013 MD6),2024-06-06,36349893.61625205,57739.9635449237,False,21.79,116.5614594686,260.6393469284,False,188.6004031985
2832,(2016 CQ247),2024-06-06,32715351.416124087,86182.7013186404,False,21.87,112.3453176718,251.2117672679,False,181.77854246985
2833,(2020 BK5),2024-06-06,58444391.27294428,57052.1676015839,False,22.97,67.6947481137,151.370058502,False,109.53240330785
2834,(2021 LW3),2024-06-06,3707989.548292091,35410.0536584637,False,23.07,64.6479825612,144.557283615,False,104.60263308809999
2835,(2021 PB2),2024-06-06,47793122.47136697,54919.719239265,False,18.81,459.7851882794,1028.1109360402,False,743.9480621598
2836,(2022 YH5),2024-06-06,41098069.09379939,47239.2426736678,False,26.54,13.0784108584,29.2442157171,False,21.16131328775
2837,(2023 JA4),2024-06-06,66402483.0859551,56131.2742603799,False,23.2,60.8912622106,136.1570015386,False,98.5241318746
2838,(2024 AT2),2024-06-06,54588876.15914636,21101.4205887799,False,27.34,9.0480496823,20.2320541533,False,14.6400519178
2839,(2024 KN),2024-06-06,49993452.49357266,71144.7014793892,True,21.79,116.5614594686,260.6393469284,False,188.6004031985
2840,(2024 LE1),2024-06-06,3756200.319218908,35459.3564161172,False,26.31,14.5396842937,32.5117224521,False,23.5257033729
2841,(2024 LH1),2024-06-06,8098.256295645,62654.6632506959,False,30.79,1.8473746362,4.1308552663,False,2.9891149512500004
2842,(2024 LP2),2024-06-06,39983437.834029466,12192.4519927825,False,23.33,57.3528463953,128.2448632429,False,92.7988548191
2843,(2009 DO111),2024-06-10,38603148.94137824,33012.1499962477,False,22.85,71.5409950884,159.9705281956,False,115.755761642
2844,(2014 UY),2024-06-10,51915519.751411065,21658.109089089,False,25.3,23.150212221,51.7654482198,False,37.4578302204
2845,(2016 HF19),2024-06-10,70798588.39881751,63675.581708578,False,26.5,13.3215566698,29.7879062798,False,21.5547314748
2846,(2018 JH2),2024-06-10,70172987.9684632,13401.5365600392,False,23.29,58.4191154186,130.6291132614,False,94.52411434
2847,(2019 WD5),2024-06-10,11993070.94940936,56964.1819382676,True,21.9,110.8038821264,247.7650126055,False,179.28444736595
2848,(2022 KB5),2024-06-10,71119189.06581052,102868.4012218592,False,20.15,248.0589931518,554.6767711177,False,401.36788213475
2849,(2024 JC9),2024-06-10,23055053.73181092,15147.8885280328,False,24.07,40.7901194028,91.209479795,False,65.9997995989
2850,(2024 LD1),2024-06-10,28828453.55643906,39087.155616178,False,20.39,222.1032822459,496.6380371276,False,359.37065968675
2851,(2024 LW1),2024-06-10,21853907.19642025,14705.0279155134,False,24.08,40.602705828,90.7904103018,False,65.69655806489999
2852,279744 (1998 KM3),2024-06-05,17391296.51983255,77407.3263344587,True,19.86,283.501249023,633.9280645215,False,458.71465677225
2853,(2008 YN2),2024-06-05,4018013.720675023,27705.1446639375,False,26.3,14.6067964271,32.6617897446,False,23.63429308585
2854,(2016 LJ10),2024-06-05,9977471.557777436,42591.9411140911,False,23.7,48.3676488219,108.1533506775,False,78.2604997497
2855,(2018 VC),2024-06-05,22840335.72948248,8672.0874602714,False,26.34,14.3401923465,32.0656448971,False,23.202918621800002
2856,(2020 BK3),2024-06-05,72015095.7482183,31739.6105346743,False,26.9,11.0803882126,24.7765012606,True,17.9284447366
2857,(2020 WF1),2024-06-05,43467474.9428346,84630.1855258703,False,23.7,48.3676488219,108.1533506775,False,78.2604997497
