,name,close_approach_date,miss_distance_km,relative_velocity_kmh,is_potentially_hazardous,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_sentry_object
5758,138893 (2000 YH66),2024-01-07,41803686.25334187,118798.8163192328,False,18.17,617.3834404717,1380.5113410775,False
5759,199003 (2005 WJ56),2024-01-07,29849942.564384263,55047.011784034,True,18.16,620.2331529543,1386.8834919048,False
5760,434188 (2003 AD23),2024-01-07,30564937.56560343,121814.4318166937,True,19.09,404.1615334029,903.7326625794,False
5761,(2007 YZ),2024-01-07,28687862.360840496,63326.0495661599,False,19.62,316.6321257337,708.0109570008,False
5762,(2010 JR34),2024-01-07,30452936.93148757,38150.2228974764,False,27.7,7.6657557353,17.1411509231,False
5763,(2012 BV13),2024-01-07,71306312.87334982,67673.6862419358,False,22.29,92.5880583366,207.0331923453,False
5764,(2019 PJ),2024-01-07,3719706.128269426,51829.9434207299,False,23.78,46.618143739,104.2413383852,False
5765,(2020 XA5),2024-01-07,21355494.62082355,29683.7186858648,False,24.29,36.8599699314,82.4213984152,False
5766,(2021 LA),2024-01-07,71686144.82731764,89673.010465549,False,23.84,45.3476698997,101.400472517,False
5767,(2021 UH2),2024-01-07,24614026.015457526,17887.3911000847,False,25.09,25.5008687857,57.0216760901,False
5768,(2021 TJ57),2024-01-07,54554503.25103369,35859.9710684825,False,21.49,133.8304618158,299.2540100804,False
5769,(2023 YV1),2024-01-07,8449915.634659326,29233.776157356,False,23.68,48.8151891662,109.1540813101,False
5770,(2024 AM),2024-01-07,1209360.071804936,32484.0768586214,False,27.83,7.2202955766,16.1450717269,True
5771,(2024 AW),2024-01-07,4280156.357123434,30585.5739394365,False,25.53,20.8235599047,46.5628954805,False
5772,(2024 AL2),2024-01-07,1496555.69898459,23938.5466214872,False,27.38,8.8829041639,19.8627775481,False
5773,(2015 OD22),2024-01-01,65417380.10969937,91415.3925356518,False,21.21,152.249185036,340.4395272595,False
5774,(2018 BA),2024-01-01,59256680.30071449,60138.6729062958,False,25.0,26.58,59.4346868419,False
5775,(2020 BC),2024-01-01,25070662.218993343,29931.0378379052,False,26.2,15.2951935344,34.201092472,False
5776,(2021 SG2),2024-01-01,71794479.50579,69336.4423409755,False,25.54,20.7278843377,46.3489584089,False
5777,(2022 AO2),2024-01-01,55049570.13010699,70248.9352052905,False,24.19,38.5971267955,86.3057992509,False
5778,(2023 YR1),2024-01-01,2484569.266358826,47864.7928761016,False,25.68,19.433676839,43.4550224647,False
5779,(2023 YY1),2024-01-01,4058906.896831003,23313.886006764,False,25.77,18.644681832,41.6907759952,False
5780,(2024 AV2),2024-01-01,1452237.374876451,29028.5426439645,False,26.62,12.6053519682,28.1864238812,False
5781,(2024 AA6),2024-01-01,7351471.447855092,25647.6217998182,False,25.12,25.1509837491,56.239309364,False
5782,152671 (1998 HL3),2023-12-30,49091485.45185331,75988.3456011773,True,20.24,237.9879546831,532.1572444975,False
5783,508774 (1999 JE1),2023-12-30,43776447.202834845,84429.4216049935,True,20.08,256.1857544793,572.8487618827,False
